% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=81362, Thu Dec  3 18:37:58 2020
1 6 -0.1761068534768484 -0.1761068534768484 0 0 1 1
2 12 -0.09058409093867031 -0.09058409093867031 0 0 1 1
3 18 -0.10409486264757815 -0.10409486264757815 0 0 1 1
4 24 -0.4796215058336561 -0.4796215058336561 0 0 1 1
5 30 -0.5594036413497567 -0.5594036413497567 0 0 1 1
6 36 -0.43401645022928736 -0.43401645022928736 0 0 1 1
7 42 -0.38604481048997424 -0.38604481048997424 0 0 1 1
8 48 -0.3407729110442177 -0.3407729110442177 0 0 1 1
9 54 -0.14504082586847383 -0.14504082586847383 0 0 1 1
10 60 -0.182448132668295 -0.182448132668295 0 0 1 1
11 66 -0.14857920487291865 -0.14857920487291865 0 0 1 1
12 72 -0.23633012868391812 -0.23633012868391812 0 0 1 1
13 78 -0.21988151479607984 -0.2198815147960798 0 0 1 1
14 84 -0.17854556427505291 -0.17854556427505291 0 0 1 1
15 90 -0.15937362901312718 -0.15937362901312718 0 0 1 1
16 96 -0.35113649004463404 -0.35113649004463404 0 0 1 1
17 102 -0.3492903647955041 -0.3492903647955041 0 0 1 1
18 108 -0.32555463169148935 -0.32555463169148935 0 0 1 1
19 114 -0.28449859433647817 -0.28449859433647817 0 0 1 1
20 120 -0.2295958495976893 -0.22959584959768933 0 0 1 1
21 126 -0.3339761079580888 -0.3339761079580888 0 0 1 1
22 132 -0.39671879426778717 -0.39671879426778717 0 0 1 1
23 138 -0.33472329519785965 -0.33472329519785965 0 0 1 1
24 144 -0.3149909246400561 -0.3149909246400561 0 0 1 1
25 150 -0.3223381212962566 -0.3223381212962566 0 0 1 1
26 156 -0.2762557852579913 -0.2762557852579913 0 0 1 1
27 162 -0.20559624644261046 -0.2055962464426105 0 0 1 1
28 168 -0.24358931122162691 -0.2435893112216269 0 0 1 1
29 174 -0.2312994142081356 -0.23129941420813563 0 0 1 1
30 180 -0.23946442578674906 -0.23946442578674904 0 0 1 1
31 186 -0.22231393977915356 -0.22231393977915356 0 0 1 1
32 192 -0.2526909249504653 -0.2526909249504653 0 0 1 1
33 198 -0.06944368283095534 -0.06944368283095534 0 0 1 1
34 204 -0.14313336032669194 -0.14313336032669194 0 0 1 1
35 210 0 0 0.016305244846927136 0.016305244846927136 1 1
36 216 -0.017518234835819137 -0.017518234835819137 0 0 1 1
37 222 -0.11353956040766706 -0.11353956040766706 0 0 1 1
38 228 0 0 0.04352550269339453 0.04352550269339453 1 1
39 234 -0.010759323077570085 -0.010759323077570085 0 0 1 1
40 240 0 0 0.08643606084599384 0.08643606084599384 1 1
41 246 0 0 0.0889627652535841 0.0889627652535841 1 1
42 252 0 0 0.06076130308100872 0.060761303081008716 1 1
43 258 0 0 0.13325015567596943 0.13325015567596943 1 1
44 264 0 0 0.14030084575076576 0.14030084575076576 1 1
45 270 0 0 0.07028393295510683 0.07028393295510683 1 1
46 276 -0.036999549357700307 -0.036999549357700307 0 0 1 1
47 282 -0.0457334505848323 -0.0457334505848323 0 0 1 1
48 288 -0.21674732670513983 -0.21674732670513983 0 0 1 1
49 294 -0.21847222662024346 -0.2184722266202435 0 0 1 1
50 300 -0.27462594807620966 -0.27462594807620966 0 0 1 1
51 306 -0.295983101129371 -0.295983101129371 0 0 1 1
52 312 -0.262789042323792 -0.262789042323792 0 0 1 1
53 318 -0.1710083305536349 -0.1710083305536349 0 0 1 1
54 324 0 0 0.03186946807912337 0.03186946807912337 1 1
55 330 -0.08617944865521338 -0.08617944865521338 0 0 1 1
56 336 -0.1668853385288465 -0.1668853385288465 0 0 1 1
57 342 -0.12095831492945125 -0.12095831492945124 0 0 1 1
58 348 -0.008681813995533222 -0.008681813995533222 0 0 1 1
59 354 -0.004551965560929121 -0.004551965560929121 0 0 1 1
60 360 -0.03745436173034046 -0.03745436173034046 0 0 1 1
61 366 -0.004864913828970189 -0.004864913828970189 0 0 1 1
62 372 -0.027446457899129383 -0.027446457899129383 0 0 1 1
63 378 0 0 0.19643463343006135 0.19643463343006132 1 1
64 384 0 0 0.21889127970254682 0.21889127970254682 1 1
65 390 0 0 0.05001203777667828 0.05001203777667828 1 1
66 396 0 0 0.18462963413394853 0.18462963413394853 1 1
67 402 0 0 0.16557053414413203 0.16557053414413203 1 1
68 408 0 0 0.07672570215504901 0.07672570215504901 1 1
69 414 0 0 0.22458230046631666 0.2245823004663167 1 1
70 420 0 0 0.17509821260812003 0.17509821260812003 1 1
70 420 0 0 0.17509821260812003 0.17509821260812003 1 1
